stamp,x,y,yaw,nearest_path_error_m,dist_to_path_end_m,request_file
222.866,4.912807792749676,0.27206285561979027,-0.18781077100386617,0.28569332931165636,0.28569332931165636,lt_dwa_scout_bridge_request_222868000000.txt
223.146,4.913061483204743,0.2717258110242151,-0.18785082487252514,0.285294973806632,0.285294973806632,lt_dwa_scout_bridge_request_223162000000.txt
223.446,4.913100665425299,0.2715677264832999,-0.18780432564738384,0.2851324681912503,0.2851324681912503,lt_dwa_scout_bridge_request_223463000000.txt
223.746,4.913318180158595,0.27172192154651525,-0.1879850201229079,0.2852131493110872,0.2852131493110872,lt_dwa_scout_bridge_request_223759000000.txt
224.046,4.913379693597716,0.27120556713046884,-0.1879460725248467,0.2847025414775656,0.2847025414775656,lt_dwa_scout_bridge_request_224060000000.txt
224.346,4.913491729261774,0.2711284398298728,-0.1877223286016539,0.28459499607459593,0.28459499607459593,lt_dwa_scout_bridge_request_224365000000.txt
224.646,4.913488285606351,0.27217470879395883,-0.18761785050111024,0.28559297756493374,0.28559297756493374,lt_dwa_scout_bridge_request_224661000000.txt
224.946,4.913585552162316,0.2723668574328331,-0.18781514815430198,0.2857466742114931,0.2857466742114931,lt_dwa_scout_bridge_request_224963000000.txt
225.246,4.913526738042873,0.27088760790662336,-0.18786909110759983,0.28435492109488547,0.28435492109488547,lt_dwa_scout_bridge_request_225265000000.txt
225.546,4.913635287196172,0.2723379209293207,-0.18780024369367582,0.28570405456309644,0.28570405456309644,lt_dwa_scout_bridge_request_225563000000.txt
225.846,4.913802236091895,0.27161107186447137,-0.1878224382998526,0.28496074968690793,0.28496074968690793,lt_dwa_scout_bridge_request_225864000000.txt
226.046,4.913819737796127,0.2719407535491939,-0.18780146605174367,0.28526971629395215,0.28526971629395215,lt_dwa_scout_bridge_request_226064000000.txt
226.366,4.91356455711828,0.271027461315662,-0.18788031970468264,0.28447666085879847,0.28447666085879847,lt_dwa_scout_bridge_request_226366000000.txt
226.646,4.91335862083118,0.271917901716721,-0.18790014162698523,0.2853875853261661,0.2853875853261661,lt_dwa_scout_bridge_request_226664000000.txt
226.966,4.913199079686143,0.2711856498514137,-0.18789019323216574,0.2847385756315191,0.2847385756315191,lt_dwa_scout_bridge_request_226969000000.txt
227.246,4.913237891002842,0.27149571779682297,-0.18769803097724821,0.2850220839507827,0.2850220839507827,lt_dwa_scout_bridge_request_227265000000.txt
227.566,4.913425355836213,0.2718085401155701,-0.18782920090776292,0.2852631267651744,0.2852631267651744,lt_dwa_scout_bridge_request_227573000000.txt
227.866,4.913447222591034,0.2711627100009585,-0.1879635254784775,0.2846411751174978,0.2846411751174978,lt_dwa_scout_bridge_request_227869000000.txt
228.166,4.913263315900466,0.27149391065134754,-0.18797329081979364,0.28501262408767847,0.28501262408767847,lt_dwa_scout_bridge_request_228171000000.txt
228.466,4.913049898100568,0.2719054863766861,-0.18795919409934744,0.28546963716315604,0.28546963716315604,lt_dwa_scout_bridge_request_228472000000.txt
228.766,4.913301220171687,0.27198705073795526,-0.18776494564426102,0.28547089902974265,0.28547089902974265,lt_dwa_scout_bridge_request_228772000000.txt
229.046,4.9133519938171615,0.27128626125642646,-0.1877974403388717,0.28478783773530686,0.28478783773530686,lt_dwa_scout_bridge_request_229064000000.txt
