actual_index,actual_x,actual_y,actual_yaw,nearest_path_index,nearest_path_x,nearest_path_y,nearest_error_m,dist_to_path_end_m,request_file
12,1.3336175671722268,1.0647694161518286,0.9988604852741372,27,1.3389723859975748,1.0698193707240924,0.007360443317778456,6.528742069608733,lt_dwa_scout_bridge_request_280057000000.txt
13,1.4532831421709536,1.2503299813727051,0.9836669837348849,30,1.4887581104882095,1.129020072368795,0.12639053524551294,6.44412701086307,lt_dwa_scout_bridge_request_280369000000.txt
14,1.5834999733942294,1.4339189406017139,0.9487148494252274,33,1.6385220921126684,1.171879113553977,0.2677541867225868,6.355324808801736,lt_dwa_scout_bridge_request_280669000000.txt
15,1.7644518756448748,1.6727313539390347,0.8484245556437903,36,1.788263495457695,1.1977686083484391,0.4755592528140601,6.238917773793691,lt_dwa_scout_bridge_request_281061000000.txt
16,1.9206960107249216,1.833229258276714,0.7484846307607973,39,1.9379818143521899,1.2063081250194498,0.6271593946769934,6.134573900925692,lt_dwa_scout_bridge_request_281372000000.txt
17,2.0798090409777936,1.962791838834457,0.6168861475233658,41,2.0377811045658594,1.2022888384054635,0.7616634171998464,6.023882517310686,lt_dwa_scout_bridge_request_281672000000.txt
18,2.303942518390609,2.0867783122542454,0.4210022338471599,43,2.137570086216026,1.1905217671513657,0.911567650165053,5.855471428115183,lt_dwa_scout_bridge_request_282059000000.txt
19,2.511553410159557,2.1557267922598147,0.2279021179294037,45,2.237348859693923,1.1710823640252312,1.02211192417928,5.687748367342105,lt_dwa_scout_bridge_request_282367000000.txt
20,2.8259785771219326,2.181347140724343,-0.054899519558241544,49,2.436876513636975,1.1097363512706961,1.1400658313806797,5.408380025089368,lt_dwa_scout_bridge_request_282759000000.txt
21,3.139713576679139,2.1170164468219133,-0.40010844551350894,52,2.586497166203676,1.0448711036287597,1.206459296350325,5.095798026829929,lt_dwa_scout_bridge_request_283161000000.txt
22,3.343298679218604,1.9949534482277302,-0.6688575223434844,55,2.7360976802170565,0.9648699765743772,1.1957278167550933,4.859974863194971,lt_dwa_scout_bridge_request_283466000000.txt
23,3.553996697055635,1.7575072951522963,-1.0436536410073158,59,2.935536421227442,0.8366981394625452,1.1092261329321251,4.572227301227717,lt_dwa_scout_bridge_request_283858000000.txt
24,3.645896390514008,1.5365611910808306,-1.2954890258733003,61,3.035244756921866,0.7643185980986402,0.984507003542691,4.4056881647384225,lt_dwa_scout_bridge_request_284170000000.txt
25,3.6848022582366817,1.285467322230149,-1.537694757971723,64,3.184795202970278,0.6466870281767098,0.811201158398568,4.2873907190878136,lt_dwa_scout_bridge_request_284471000000.txt
26,3.6584516354485808,0.9868460748359003,-1.7778659373250232,66,3.2844884471470737,0.562964894953131,0.5652642929315782,4.233132209988982,lt_dwa_scout_bridge_request_284862000000.txt
27,3.589319413271966,0.7537227450954883,-1.948463830894723,68,3.3841768851104703,0.4756304731364499,0.34557020789389514,4.2529502128834,lt_dwa_scout_bridge_request_285168000000.txt
